1password-beta 8.11.2_18.BETA-18
1password-cli 2.31.1-1
alacritty 0.15.1-1
amd-ucode 20250708-1
base 3-2
base-devel 1-2
bat 0.25.0-4
blueberry 1.4.8-2
brave-bin 1:1.80.120-1
brightnessctl 0.5.1-3
btop 1.4.4-1
btrfs-progs 6.15-1
chromium 138.0.7204.92-1
clang 20.1.7-1
claude-code 1.0.51-1
clipse 1.1.0-1
cpupower 6.15-1
cups 2:2.4.12-2
cups-filters 2.0.1-2
cups-pdf 3.0.2-1
docker 1:28.3.0-1
docker-compose 2.38.2-1
dua-cli 2.30.1-1
efibootmgr 18-3
evince 48.1-1
eza 0.22.0-1
fastfetch 2.47.0-1
fcitx5 5.1.14-1
fcitx5-configtool 5.1.9-1
fcitx5-gtk 5.1.4-1
fcitx5-qt 5.1.10-1
fd 10.2.0-1
filen-desktop-bin 3.0.47-1
fprintd 1.94.5-1
fzf 0.64.0-1
gcc14 14.3.1+r25+g42e99e057bd7-1
ghostty 1.1.3-1
git 2.50.1-1
git-delta 0.18.2-4
github-cli 2.75.0-1
gnome-calculator 48.1-2
gnome-themes-extra 3.28+r6+g45b1d457-2
gst-plugin-pipewire 1:1.4.6-1
gum 0.16.2-1
hugo 0.148.1-1
hypridle 0.1.6-6
hyprland 0.49.0-3
hyprland-qtutils 0.1.4-3
hyprlock 0.8.2-3
hyprpicker 0.4.5-4
hyprpolkitagent 0.1.2-8
hyprshot 1.3.0-3
imagemagick 7.1.1.47-2
imv 4.5.0-5
inetutils 2.6-1
iwd 3.9-1
jdk 24.0.1-1
kanata-bin 1.9.0-1
kdenlive 25.04.3-1
kitty 0.42.1-1
kubectl 1.33.2-1
kvantum-qt5 1.1.5-1
languagetool 6.6-2
lazydocker 0.24.1-1
lazygit 0.53.0-1
less 1:668-1
libfprint 1.94.9-1
libpulse 17.0+r43+g3e2bb8a1e-1
libreoffice-fresh 25.2.4-3
linux 6.15.6.arch1-1
linux-firmware 20250708-1
llvm 20.1.7-1
luarocks 3.12.2-1
mako 1.10.0-1
man-db 2.13.1-1
mariadb-libs 11.8.2-1
mermaid-cli 11.6.0-1
mise 2025.7.2-1
morgen-bin 3.6.16-1
nautilus 48.3-1
neovim 0.11.2-3
noto-fonts 1:2025.07.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.048-1
noto-fonts-extra 1:2025.07.01-1
npm 11.4.2-1
obs-studio 31.0.4-1
obsidian 1.8.10-1
pamixer 1.6-3
pavucontrol 1:6.1-1
pinta 3.0.2-1
pipewire 1:1.4.6-1
pipewire-alsa 1:1.4.6-1
pipewire-jack 1:1.4.6-1
pipewire-pulse 1:1.4.6-1
playerctl 2.4.1-4
plocate 1.1.23-1
postgresql-libs 17.5-2
power-profiles-daemon 0.30-1
presenterm 0.14.0-1
ripgrep 14.1.1-1
rsync 3.4.1-2
rust 1:1.88.0-1
sesh-bin 2.17.1-1
signal-desktop 7.61.0-1
slack-desktop 4.44.60-1
sof-firmware 2025.05-1
spotify 1:1.2.63.394-1
sushi 46.0-2
swaybg 1.2.1-1
system-config-printer 1.5.18-5
tig 2.5.12-1
timeshift 24.06.6-1
tldr 3.4.1-1
tmux 3.5_a-1
tree 2.2.1-1
tree-sitter-cli 0.25.6-1
ttc-iosevka 33.2.6-1
ttf-atkinson-hyperlegible 1.006-1
ttf-font-awesome 6.7.2-1
typora 1.10.8-1
unzip 6.0-22
vim 9.1.1497-1
vlc 3.0.21-26
waybar 0.13.0-3
wget 1.25.0-2
whois 5.6.1-1
wireplumber 0.5.10-1
wl-clip-persist 0.4.3-2
wl-clipboard 1:2.2.1-3
wofi 1.4.1-1
wtype 0.4-2
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.9-11
xorg-xrandr 1.5.3-1
xournalpp 1.2.7-1
yay-bin 12.5.0-1
yay-bin-debug 12.5.0-1
yazi 25.5.31-1
zen-browser-bin 1.14.2b-1
zoom 6.5.3-1
zoxide 0.9.8-2
zram-generator 1.2.1-1
zsh 5.9-5
zsh-autosuggestions 0.7.1-1
zsh-completions 0.35.0-2
zsh-syntax-highlighting 0.8.0-1
zsh-theme-powerlevel10k-git r4313.36f3045d-1
