tobi-try 1.8.1-3
trash-cli 0.24.5.26-3
tree 2.3.2-1
tree-sitter-cli 0.26.9-1
ttc-iosevka 34.8.0-1
ttf-atkinson-hyperlegible 1.006-2
ttf-cascadia-mono-nerd 3.5.0-1
ttf-ia-writer 20181225-1
ttf-jetbrains-mono-nerd-basic 3.5.0-1
ttfx 0.3.1-1
tzupdate 3.1.0-1
udiskie 2.7.0-2
ufw 0.36.2-7
ufw-docker 251123-1
unzip 6.0-23
usage 3.5.5-1
usbutils 019-1
uwsm 0.26.6-1
vim 9.2.0849-1
visual-studio-code-bin 1.133.0-1
voxtype-bin 0.7.5-1
vulkan-radeon 1:26.1.7-1
w3m 0.5.6-1
walker 2.17.0-1
wget 1.25.0-6
whisper-cpp 1.9.1-2
whois 5.6.6-1
wireless-regdb 2026.05.30-1
wireless_tools 30.pre9-5
wireplumber 0.5.15-1
wl-clipboard 1:2.3.0-1
woff2-font-awesome 7.3.1-1
wtype 0.4-2
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.4.1-1
xdg-terminal-exec 0.14.2-1
xmlstarlet 1.6.1-6
xorg-xrandr 1.5.4-1
xournalpp 1.3.7-1
xterm 410-1
yarn 1.22.22-2
yaru-icon-theme 26.04.5.1ubuntu-1
yay 13.0.1-1
yazi 26.5.6-4
yq 4.1.2-1
yt-dlp 2026.07.04-1
zbar 0.23.93-7
zed 1.14.2-2
zenity 4.2.2-1
zoxide 0.10.0-1
zram-generator 1.2.1-1
zsh 5.9.2-1
zsh-autosuggestions 0.7.1-1
zsh-completions 0.36.0-1
zsh-syntax-highlighting 0.8.0-2
